, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.007317965605561654,0.0034150506159287717,0.005061592877180144,0.012989388949871936,0.0032321014757897303,0.00823271130625686,0.0032321014757897303,0.0,0.001158677887547262,0.005427491157458227,0.007500914745700695,0.0,0.008354677399682889,0.0020734235882424686,0.007927796072691791,0.014635931211123308,0.009330406147091108,0.0172582022197829,0.004207830223197951,0.014452982070984267,0.007927796072691791,0.004695694596902061,0.00048786437370411026,0.0015245761678253445,0.00030491523356506893,0.005122575923893158,0.0006708135138431517,0.0,0.0,0.0,0.0,0.0020734235882424686,0.0,0.004207830223197951
а,0.01402610074399317,0.00018294914013904133,0.0010367117941212343,0.002317355775094524,0.0005488474204171241,0.001951457494816441,0.0005488474204171241,0.0,0.0012806439809732895,0.0032321014757897303,0.00012196609342602757,0.0006098304671301379,0.0037199658494938407,0.009147457006952067,0.0028662031955116476,0.006708135138431516,0.0,0.0008537626539821929,0.002012440541529455,0.0039638980363458955,0.005061592877180144,0.0,0.0,0.0009757287474082205,6.098304671301378e-05,0.0012196609342602757,0.0009757287474082205,0.00036589828027808267,0.0,0.0,0.0,0.0,0.0012196609342602757,0.0024393218685205514
б,6.098304671301378e-05,0.0008537626539821929,0.0,0.0,0.0,0.0,0.002012440541529455,0.0,6.098304671301378e-05,0.0,0.0009147457006952067,0.0,0.00024393218685205513,0.0010367117941212343,0.00012196609342602757,0.00036589828027808267,0.0018294914013904135,0.0,0.00048786437370411026,0.00012196609342602757,0.0,0.0013416270276863033,0.0,0.0,0.0,0.0,0.0,6.098304671301378e-05,0.00012196609342602757,0.0027442371020856204,0.0,0.0,6.098304671301378e-05,0.00036589828027808267
в,0.0056104402975972675,0.006159287718014392,0.0,0.0,0.0,0.00030491523356506893,0.0032321014757897303,0.0,0.0,0.0006708135138431517,0.002561287961946579,0.0,0.00042688132699109647,0.0009757287474082205,6.098304671301378e-05,0.0014635931211123307,0.005549457250884254,0.00018294914013904133,0.0006098304671301379,0.0028662031955116476,0.00018294914013904133,0.0006098304671301379,0.0,0.0,0.0,6.098304671301378e-05,0.0009757287474082205,0.0,0.0,0.001951457494816441,0.00012196609342602757,0.0,0.0,0.00012196609342602757
г,0.0008537626539821929,0.0009757287474082205,0.0,0.0,0.0,0.0009147457006952067,6.098304671301378e-05,0.0,0.0,0.0,0.00048786437370411026,0.0,0.00030491523356506893,0.0013416270276863033,0.0,0.0006708135138431517,0.007195999512135626,0.0,0.001158677887547262,0.0,0.0,0.00048786437370411026,0.0,0.0,0.0,0.00012196609342602757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.00048786437370411026,0.00451274545676302,0.0,0.0010976948408342481,0.00024393218685205513,0.0,0.004146847176484937,0.0,0.00018294914013904133,0.0,0.001646542261251372,0.0,0.00018294914013904133,0.0010367117941212343,6.098304671301378e-05,0.0013416270276863033,0.004878643737041103,0.0,0.003293084522502744,0.00024393218685205513,6.098304671301378e-05,0.0018904744481034273,0.0,0.00012196609342602757,6.098304671301378e-05,0.0,0.0,0.0,0.0,0.00042688132699109647,0.00030491523356506893,0.0,0.0,0.00030491523356506893
е,0.017136236126356872,0.00012196609342602757,0.001158677887547262,0.0010367117941212343,0.00402488108305891,0.0031711184290767165,0.0012806439809732895,0.0,0.0005488474204171241,0.0006098304671301379,0.0,0.0025003049152335652,0.0010976948408342481,0.004329796316623978,0.004207830223197951,0.006464202951579461,0.00018294914013904133,0.0012806439809732895,0.005183558970606171,0.0024393218685205514,0.0029271862422246614,0.00024393218685205513,6.098304671301378e-05,0.00036589828027808267,0.00042688132699109647,0.0010367117941212343,0.0013416270276863033,0.0009757287474082205,0.0,0.0,0.0,0.0,0.00024393218685205513,0.0008537626539821929
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,6.098304671301378e-05,0.0010976948408342481,0.0,0.0,0.0,0.001158677887547262,0.0028662031955116476,0.0,0.0,0.0,0.0014635931211123307,0.0,0.00018294914013904133,0.00012196609342602757,0.0,0.0013416270276863033,6.098304671301378e-05,0.0,0.0,0.0,0.0,0.00018294914013904133,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0
з,0.0013416270276863033,0.005488474204171241,0.0,0.0009757287474082205,0.00042688132699109647,0.0007927796072691791,0.0,0.0,6.098304671301378e-05,6.098304671301378e-05,0.00030491523356506893,0.0,0.00030491523356506893,0.00018294914013904133,0.00048786437370411026,0.001158677887547262,0.00042688132699109647,0.00012196609342602757,0.00024393218685205513,0.0,0.0,0.0006708135138431517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042688132699109647,0.00012196609342602757,0.0,0.0,0.0005488474204171241
и,0.013782168557141115,0.00018294914013904133,0.00042688132699109647,0.002317355775094524,0.0006708135138431517,0.0012806439809732895,0.0018904744481034273,0.0,0.00036589828027808267,0.0013416270276863033,0.0014635931211123307,0.0015245761678253445,0.0010976948408342481,0.005366508110745213,0.002988169288937675,0.0032321014757897303,0.00018294914013904133,0.00042688132699109647,0.0009757287474082205,0.0023783388218075376,0.0034760336626417855,0.0,0.0,0.001646542261251372,0.0006098304671301379,0.0007317965605561653,0.00042688132699109647,0.00018294914013904133,0.0,0.0,0.0,0.00012196609342602757,0.00030491523356506893,0.0014026100743993169
й,0.007622880839126722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.098304671301378e-05,0.0,6.098304671301378e-05,0.0005488474204171241,0.0,0.0,0.0,0.00024393218685205513,0.00018294914013904133,0.0,0.0,0.0,0.0,0.0006708135138431517,0.00018294914013904133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
к,0.004756677643615075,0.005732406391023295,0.0,0.00012196609342602757,0.0,0.0,0.0010367117941212343,0.0,0.0,0.0,0.0028052201487986338,0.0,6.098304671301378e-05,0.00036589828027808267,0.0,0.00018294914013904133,0.00951335528723015,0.0,0.0023783388218075376,0.00030491523356506893,0.00018294914013904133,0.002561287961946579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
л,0.007439931698987681,0.0056104402975972675,0.0,0.0,0.00030491523356506893,6.098304671301378e-05,0.0050006098304671304,0.0,0.00030491523356506893,6.098304671301378e-05,0.005366508110745213,0.0,0.00036589828027808267,6.098304671301378e-05,0.0,0.0005488474204171241,0.004451762410050006,0.0,0.0,0.003354067569215758,0.0,0.0014635931211123307,0.0,0.0,0.0,0.00012196609342602757,0.0,0.0,0.0,0.0006708135138431517,0.0038419319429198683,0.0,0.00042688132699109647,0.0013416270276863033
м,0.007013050371996585,0.00225637272838151,0.0,0.00012196609342602757,0.0,0.0,0.004085864129771923,0.0,0.0,0.0,0.002622271008659593,0.0,0.00036589828027808267,0.00012196609342602757,0.00024393218685205513,0.0012806439809732895,0.005183558970606171,0.00012196609342602757,6.098304671301378e-05,6.098304671301378e-05,0.0,0.0020734235882424686,0.0,0.0,0.0,0.00018294914013904133,0.0,0.0,0.0,0.0010976948408342481,0.0,0.0,0.0,0.00030491523356506893
н,0.0026832540553726066,0.009696304427369191,0.0,0.0,0.0,0.0018904744481034273,0.010123185754360288,0.0,0.0,0.0,0.006952067325283571,0.0,0.00048786437370411026,0.0,0.0,0.0021953896816684962,0.008476643493108916,0.0,6.098304671301378e-05,0.00048786437370411026,0.0014026100743993169,0.004634711550189048,0.0,0.0,6.098304671301378e-05,0.00012196609342602757,0.0,0.0,0.0,0.0028052201487986338,0.0014026100743993169,0.0,0.00030491523356506893,0.002622271008659593
о,0.022014879863397976,0.0,0.003658982802780827,0.006342236858153433,0.0038419319429198683,0.0037199658494938407,0.0018294914013904135,0.0,0.0024393218685205514,0.0015855592145383583,0.0012806439809732895,0.002622271008659593,0.0018294914013904135,0.0068301012318575435,0.005671423344310282,0.004634711550189048,6.098304671301378e-05,0.0015855592145383583,0.005366508110745213,0.006098304671301378,0.00774484693255275,0.00036589828027808267,0.00024393218685205513,0.0007317965605561653,6.098304671301378e-05,0.0017075253079643859,0.0007317965605561653,0.00042688132699109647,0.0,0.0,0.0,6.098304671301378e-05,0.00030491523356506893,0.0012806439809732895
п,6.098304671301378e-05,0.0024393218685205514,0.0,0.0,0.0,0.0,0.0012196609342602757,0.0,0.0,0.0,0.0008537626539821929,0.0,0.00036589828027808267,0.001158677887547262,0.0,6.098304671301378e-05,0.010733016221490426,0.0,0.0068301012318575435,0.0,0.00012196609342602757,0.0007317965605561653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042688132699109647,0.0,0.0,0.0,0.00042688132699109647
р,0.00048786437370411026,0.007013050371996585,6.098304671301378e-05,0.00030491523356506893,6.098304671301378e-05,6.098304671301378e-05,0.0062202707647274055,0.0,0.00018294914013904133,0.0,0.004085864129771923,0.0,0.00048786437370411026,0.00012196609342602757,0.00018294914013904133,0.0007927796072691791,0.007195999512135626,6.098304671301378e-05,0.00012196609342602757,0.00018294914013904133,0.0005488474204171241,0.0027442371020856204,0.0,0.00030491523356506893,6.098304671301378e-05,0.0,6.098304671301378e-05,0.0,0.0,0.0015245761678253445,0.00042688132699109647,0.0,6.098304671301378e-05,0.0009757287474082205
с,0.003354067569215758,0.0015245761678253445,0.0,0.0012196609342602757,0.0,0.00030491523356506893,0.00402488108305891,0.0,0.00024393218685205513,0.0,0.0013416270276863033,0.0,0.00451274545676302,0.0028052201487986338,0.0006098304671301379,0.0012196609342602757,0.0028662031955116476,0.0026832540553726066,0.00024393218685205513,0.00036589828027808267,0.011342846688620564,0.0006708135138431517,0.0,0.00024393218685205513,0.0,0.00012196609342602757,6.098304671301378e-05,0.0,0.0,0.00030491523356506893,0.0032321014757897303,0.0,0.00018294914013904133,0.005854372484449323
т,0.004268813269910965,0.004817660690328089,0.00012196609342602757,0.0015245761678253445,0.0,0.00012196609342602757,0.00402488108305891,0.0,0.0,0.0,0.004207830223197951,0.0,0.0007317965605561653,0.00024393218685205513,6.098304671301378e-05,0.0008537626539821929,0.01225759238931577,0.00018294914013904133,0.0024393218685205514,0.0008537626539821929,6.098304671301378e-05,0.0018294914013904135,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0,0.0,0.0021953896816684962,0.006708135138431516,0.0,6.098304671301378e-05,0.0014026100743993169
у,0.006159287718014392,6.098304671301378e-05,0.0007927796072691791,0.0010976948408342481,0.0007317965605561653,0.0017685083546773997,6.098304671301378e-05,0.0,0.0015855592145383583,0.00030491523356506893,0.0,6.098304671301378e-05,0.0013416270276863033,0.0021953896816684962,0.0007317965605561653,0.00030491523356506893,0.0,0.0007317965605561653,0.00036589828027808267,0.0018294914013904135,0.001646542261251372,0.0,0.0,0.0007927796072691791,0.0,0.0010367117941212343,0.00042688132699109647,0.00030491523356506893,0.0,0.0,0.0,0.0,0.0012806439809732895,6.098304671301378e-05
ф,0.0,0.00018294914013904133,0.0,0.0,0.0,0.0,0.00024393218685205513,0.0,0.0,0.0,0.00012196609342602757,0.0,0.0,0.0,0.0,0.0,0.00012196609342602757,0.0,6.098304671301378e-05,0.0,6.098304671301378e-05,6.098304671301378e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0,0.0
х,0.003293084522502744,0.00042688132699109647,0.0,0.0005488474204171241,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.0,6.098304671301378e-05,0.0,0.0,0.00024393218685205513,0.00018294914013904133,0.00018294914013904133,0.0018904744481034273,0.0,6.098304671301378e-05,6.098304671301378e-05,0.0,0.00012196609342602757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
