,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.0005838137634094723,0.001532511128949865,0.004013719623440122,0.0010946508063927607,0.002846092096621178,0.0013865576880974968,0.0,0.001751441290228417,0.004086696343866307,0.0009486973655403926,0.0005838137634094723,0.006567904838356564,0.009632927096256294,0.004232649784718674,0.009341020214551557,0.0009486973655403926,0.002846092096621178,0.002919068817047362,0.007808509085601693,0.006932788440487485,0.0006567904838356564,0.0,0.001532511128949865,0.00021893016127855214,0.0010946508063927607,0.0016784645698022331,0.00036488360213092025,0.0,0.0,0.0,0.00036488360213092025,0.0010946508063927607,0.0035758593008830184
б,0.0008757206451142086,0.0,0.0,0.0,0.0,0.0024812084944902577,0.0,7.297672042618404e-05,0.0,0.0011676275268189447,0.0,0.00021893016127855214,0.0018973947310807853,7.297672042618404e-05,0.0006567904838356564,0.0021893016127855214,0.0,0.0005838137634094723,7.297672042618404e-05,0.0,0.001532511128949865,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.0,0.00014595344085236808,0.00342990586003065,0.00014595344085236808,0.0,0.0,0.0009486973655403926
в,0.0072246953221922205,7.297672042618404e-05,0.0,0.00014595344085236808,0.0004378603225571043,0.004524556666423411,0.0,0.0,0.0009486973655403926,0.0029920455374735457,0.0,0.0013865576880974968,0.0013865576880974968,0.0005108370429832884,0.0019703714515069692,0.006932788440487485,0.0008027439246880245,0.0010946508063927607,0.004159673064292491,0.00036488360213092025,0.0007297672042618405,0.00014595344085236808,0.00014595344085236808,7.297672042618404e-05,0.00021893016127855214,0.0010216740859665767,0.0,0.0,0.0020433481719331534,7.297672042618404e-05,7.297672042618404e-05,0.0,0.00014595344085236808
г,0.0009486973655403926,0.0,7.297672042618404e-05,0.0,0.0010946508063927607,0.00014595344085236808,0.0,0.0,7.297672042618404e-05,0.0007297672042618405,0.0,0.00029190688170473617,0.001824418010654601,0.0,0.0005838137634094723,0.010143764139239583,7.297672042618404e-05,0.0011676275268189447,7.297672042618404e-05,0.0,0.0011676275268189447,0.0,0.0,0.0,0.00021893016127855214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.005619207472816172,7.297672042618404e-05,0.0013135809676713128,7.297672042618404e-05,0.0,0.004962416988980515,0.0,0.00014595344085236808,0.0,0.0021893016127855214,0.0,0.0004378603225571043,0.0013865576880974968,0.0004378603225571043,0.0018973947310807853,0.0059840910749470915,0.00014595344085236808,0.003502882580456834,0.00036488360213092025,0.00014595344085236808,0.0022622783332117056,7.297672042618404e-05,0.0,7.297672042618404e-05,0.00029190688170473617,7.297672042618404e-05,0.0,0.0,0.0004378603225571043,0.00029190688170473617,0.0,0.0,0.00021893016127855214
е,0.0005108370429832884,0.0018973947310807853,0.003283952419178282,0.0051813471502590676,0.0039407429030139385,0.001532511128949865,0.0,0.0009486973655403926,0.0011676275268189447,0.0008757206451142086,0.00306502225789973,0.001605487849376049,0.004816463548128147,0.005692184193242356,0.01028971758009195,0.0008757206451142086,0.0037947894621615705,0.0067138582792089325,0.007297672042618404,0.005035393709406699,0.0010216740859665767,0.00014595344085236808,0.0005838137634094723,0.00036488360213092025,0.002116324892359337,0.0013865576880974968,0.0009486973655403926,0.0,0.0,0.0,0.00021893016127855214,0.00014595344085236808,0.0013865576880974968
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,0.0010946508063927607,7.297672042618404e-05,0.0,0.0,0.0010946508063927607,0.004232649784718674,0.0,0.0,0.0,0.0020433481719331534,0.0,0.00014595344085236808,0.00014595344085236808,0.0,0.001459534408523681,0.0,7.297672042618404e-05,0.0,7.297672042618404e-05,0.0,0.00014595344085236808,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0
з,0.0067138582792089325,0.00029190688170473617,0.0013135809676713128,0.00036488360213092025,0.0012406042472451289,7.297672042618404e-05,0.0,7.297672042618404e-05,0.00014595344085236808,0.00029190688170473617,0.0,0.0008027439246880245,0.0004378603225571043,0.0006567904838356564,0.0010946508063927607,0.0009486973655403926,0.00021893016127855214,0.00036488360213092025,0.00014595344085236808,0.0,0.0010216740859665767,0.0,0.0,7.297672042618404e-05,7.297672042618404e-05,7.297672042618404e-05,0.0,0.0,0.0004378603225571043,0.00029190688170473617,0.0,0.0,0.00029190688170473617
и,0.0006567904838356564,0.0010216740859665767,0.0054732540319638034,0.0010946508063927607,0.0029920455374735457,0.0024082317740640735,0.0,0.0006567904838356564,0.0021893016127855214,0.0025541852149164415,0.001751441290228417,0.0026271619353426257,0.0072246953221922205,0.0037218127417353863,0.004743486827701963,0.001459534408523681,0.0021893016127855214,0.0016784645698022331,0.0044515799459972265,0.0051813471502590676,0.0007297672042618405,7.297672042618404e-05,0.0020433481719331534,0.0006567904838356564,0.0013135809676713128,0.00036488360213092025,0.00014595344085236808,0.0,0.0,0.0,0.00036488360213092025,0.00014595344085236808,0.0013865576880974968
й,0.0004378603225571043,0.00021893016127855214,0.0007297672042618405,7.297672042618404e-05,0.0004378603225571043,7.297672042618404e-05,0.0,0.00029190688170473617,0.0,0.00036488360213092025,0.0,0.0005838137634094723,0.00014595344085236808,0.00029190688170473617,0.0013865576880974968,0.00021893016127855214,0.0009486973655403926,0.0004378603225571043,0.0011676275268189447,0.0009486973655403926,7.297672042618404e-05,0.0,0.0,7.297672042618404e-05,0.0007297672042618405,0.00014595344085236808,0.0,0.0,0.0,0.0,0.0,0.0,0.00029190688170473617
к,0.007005765160913668,0.00014595344085236808,0.00036488360213092025,7.297672042618404e-05,0.0005108370429832884,0.0008757206451142086,0.0,7.297672042618404e-05,0.0,0.0044515799459972265,0.0,7.297672042618404e-05,0.0006567904838356564,0.0005108370429832884,0.0005838137634094723,0.01298985623586076,0.00029190688170473617,0.003137998978325914,0.0013865576880974968,0.0004378603225571043,0.003137998978325914,0.0,7.297672042618404e-05,0.0,0.00014595344085236808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.297672042618404e-05
л,0.005911114354520908,0.00014595344085236808,0.0007297672042618405,0.00029190688170473617,0.0007297672042618405,0.005035393709406699,0.0,0.0007297672042618405,0.00014595344085236808,0.006567904838356564,0.0,0.0013135809676713128,0.00029190688170473617,0.0004378603225571043,0.0012406042472451289,0.008903159891994453,0.0010946508063927607,0.0004378603225571043,0.005327300591111435,0.00014595344085236808,0.0018973947310807853,0.0,0.0,0.0,0.0005838137634094723,7.297672042618404e-05,0.0,0.0,0.0008027439246880245,0.005692184193242356,0.00014595344085236808,0.0004378603225571043,0.001751441290228417
м,0.003283952419178282,0.0005108370429832884,0.0013865576880974968,0.00029190688170473617,0.0005108370429832884,0.004305626505144859,0.0,7.297672042618404e-05,0.00029190688170473617,0.003283952419178282,0.0,0.0007297672042618405,0.00036488360213092025,0.0005838137634094723,0.0024082317740640735,0.005911114354520908,0.0009486973655403926,0.00014595344085236808,0.0009486973655403926,0.0004378603225571043,0.0026271619353426257,0.0,0.00014595344085236808,0.0,0.00029190688170473617,0.00029190688170473617,0.0,0.0,0.0012406042472451289,0.0,0.0005108370429832884,0.0,0.0007297672042618405
н,0.01262497263372984,0.00014595344085236808,0.0005108370429832884,7.297672042618404e-05,0.0027731153761949936,0.011968182149894183,0.0,0.0,7.297672042618404e-05,0.008027439246880244,0.0,0.0004378603225571043,7.297672042618404e-05,7.297672042618404e-05,0.0024812084944902577,0.011092461504779974,0.00029190688170473617,0.00021893016127855214,0.0012406042472451289,0.001751441290228417,0.0054732540319638034,0.0,0.00014595344085236808,0.00029190688170473617,0.00014595344085236808,0.0,0.0,0.0,0.0035758593008830184,0.0013865576880974968,0.0,0.00021893016127855214,0.00270013865576881
о,0.00014595344085236808,0.004670510107275779,0.009341020214551557,0.004743486827701963,0.005692184193242356,0.00306502225789973,0.0,0.0027731153761949936,0.003283952419178282,0.0026271619353426257,0.004378603225571043,0.0029920455374735457,0.0067138582792089325,0.0075166022038969564,0.0075166022038969564,0.001605487849376049,0.004962416988980515,0.00649492811793038,0.009632927096256294,0.00992483397796103,0.0011676275268189447,0.00029190688170473617,0.0009486973655403926,0.00014595344085236808,0.003283952419178282,0.0010216740859665767,0.00021893016127855214,0.0,0.0,0.0,0.0005108370429832884,0.00036488360213092025,0.0025541852149164415
п,0.0027731153761949936,0.0,0.0,0.0,0.0,0.0023352550536378893,0.0,0.0,0.0,0.0005838137634094723,0.0,0.00014595344085236808,0.0013865576880974968,0.0,0.00021893016127855214,0.012916879515434576,0.0,0.009413996934977742,0.0,0.00029190688170473617,0.0007297672042618405,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0,0.00036488360213092025,7.297672042618404e-05,0.0,0.0,0.00036488360213092025
