, ,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.0071352340295776796,0.00347613965543528,0.005275194389388626,0.013111754840676932,0.0030797377649031863,0.007928037810641867,0.003415154749199573,0.0,0.0013111754840676932,0.005153224576917213,0.007836560451288306,0.0,0.008751334044823906,0.0021344717182497333,0.007989022716877573,0.015978045433755146,0.009086751029120294,0.01704528129288001,0.004146973624028053,0.015093764293337399,0.007714590638816893,0.004634852873913706,0.00054886415612136,0.00155511510901052,0.00024393962494282664,0.004787315139502973,0.0006708339685927733,9.147735935355999e-05,0.0,0.0,0.0,0.00201250190577832,0.0,0.004085988717792346
а,0.013172739746912639,0.00015246226558926666,0.0010367434060070133,0.002408903796310413,0.0007013264217106267,0.002042994358896173,0.0006708339685927733,0.0,0.0014026528434212533,0.003049245311785333,0.00012196981247141332,0.0006098490623570666,0.00402500381155664,0.007989022716877573,0.0026223509681353864,0.006342430248513493,0.0,0.0009452660466534533,0.0023479188900747067,0.004360420795853026,0.005244701936270773,3.049245311785333e-05,0.0,0.0011282207653605732,0.00015246226558926666,0.0011587132184784266,0.00118920567159628,0.00033541698429638664,0.0,0.0,0.0,0.0,0.0009757584997713066,0.0024698887025461197
б,0.00018295471870711998,0.0007013264217106267,0.0,0.0,3.049245311785333e-05,0.0,0.0014941302027748132,0.0,6.098490623570666e-05,0.0,0.0007623113279463333,0.0,0.00021344717182497332,0.00109772831224272,6.098490623570666e-05,0.00042689434364994664,0.0017990547339533465,0.0,0.0007623113279463333,0.00015246226558926666,0.0,0.00118920567159628,0.0,9.147735935355999e-05,0.0,0.0,0.0,6.098490623570666e-05,0.00012196981247141332,0.0028357981399603598,9.147735935355999e-05,0.0,6.098490623570666e-05,0.0005793566092392133
в,0.00521420948315292,0.00603750571733496,0.0,0.0,0.0,0.00018295471870711998,0.00347613965543528,0.0,0.0,0.0007928037810641867,0.0024698887025461197,0.0,0.0006708339685927733,0.00100625095288916,0.00021344717182497332,0.0014941302027748132,0.005397164201860039,0.00015246226558926666,0.00054886415612136,0.0029882604055496264,9.147735935355999e-05,0.0005183717030035066,0.0,0.0,3.049245311785333e-05,3.049245311785333e-05,0.0008232962341820399,0.0,0.0,0.00173806982771764,9.147735935355999e-05,0.0,0.0,0.00018295471870711998
г,0.0006708339685927733,0.0009757584997713066,0.0,0.0,0.0,0.0007928037810641867,0.00012196981247141332,0.0,0.0,0.0,0.00042689434364994664,0.0,0.00024393962494282664,0.0013721603903034,0.0,0.0004878792498856533,0.007623113279463333,0.0,0.0009757584997713066,3.049245311785333e-05,0.0,0.0007013264217106267,0.0,0.0,0.0,0.00012196981247141332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.0007928037810641867,0.005153224576917213,3.049245311785333e-05,0.0008537886872998933,0.00012196981247141332,0.0,0.0038115566397316663,0.0,9.147735935355999e-05,0.0,0.0014636377496569598,0.0,0.00018295471870711998,0.0009452660466534533,0.00015246226558926666,0.0014636377496569598,0.00484830004573868,0.0,0.003049245311785333,0.00027443207806068,6.098490623570666e-05,0.0018600396401890532,0.0,9.147735935355999e-05,3.049245311785333e-05,0.00015246226558926666,3.049245311785333e-05,0.0,0.0,0.00045738679676779996,0.00027443207806068,0.0,0.0,0.00036590943741423996
е,0.017441683183412104,0.00012196981247141332,0.00118920567159628,0.00118920567159628,0.0039945113584387865,0.0029272754993139197,0.0010672358591248667,0.0,0.0006708339685927733,0.0007928037810641867,0.0,0.00237841134319256,0.0012806830309498398,0.00439091324897088,0.003964018905320933,0.006708339685927733,0.00012196981247141332,0.0014941302027748132,0.00448239060832444,0.003415154749199573,0.003232200030492453,0.00024393962494282664,3.049245311785333e-05,0.00045738679676779996,0.00036590943741423996,0.0010672358591248667,0.0012806830309498398,0.0007623113279463333,0.0,0.0,0.0,0.0,0.00018295471870711998,0.0007623113279463333
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,9.147735935355999e-05,0.0010367434060070133,3.049245311785333e-05,0.0,0.0,0.0009452660466534533,0.0033541698429638664,0.0,0.0,0.0,0.0014331452965391067,0.0,0.00015246226558926666,6.098490623570666e-05,3.049245311785333e-05,0.0012501905778319867,3.049245311785333e-05,0.0,0.0,0.0,0.0,0.00015246226558926666,0.0,0.0,0.0,3.049245311785333e-05,0.0,0.0,0.0,0.0,6.098490623570666e-05,0.0,0.0,0.0
з,0.0014636377496569598,0.005732581186156427,0.00015246226558926666,0.0009452660466534533,0.0003964018905320933,0.0008842811404177467,9.147735935355999e-05,0.0,3.049245311785333e-05,6.098490623570666e-05,0.00027443207806068,0.0,0.00027443207806068,0.00021344717182497332,0.0003964018905320933,0.00100625095288916,0.00045738679676779996,9.147735935355999e-05,0.00021344717182497332,0.0,0.0,0.0005183717030035066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042689434364994664,0.00012196981247141332,0.0,0.0,0.00045738679676779996
и,0.013843573715505413,0.00012196981247141332,0.00033541698429638664,0.002683335874371093,0.0007318188748284799,0.0013111754840676932,0.0017075773745997866,0.0,0.00024393962494282664,0.00155511510901052,0.0012196981247141333,0.0014026528434212533,0.0013111754840676932,0.005824058545509986,0.0024393962494282666,0.0031712151242567466,0.00015246226558926666,0.0003049245311785333,0.00118920567159628,0.0024393962494282666,0.0032931849367281597,0.0,3.049245311785333e-05,0.00155511510901052,0.0006098490623570666,0.0009147735935355999,0.0004878792498856533,0.00015246226558926666,0.0,0.0,0.0,6.098490623570666e-05,0.00027443207806068,0.0013416679371855466
й,0.007318188748284799,0.0,0.0,0.0,0.0,3.049245311785333e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.049245311785333e-05,0.0,3.049245311785333e-05,0.00042689434364994664,0.0,0.0,0.0,0.00033541698429638664,0.00018295471870711998,0.0,0.0,0.0,0.0,0.0004878792498856533,0.00015246226558926666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
к,0.004329928342735173,0.00603750571733496,0.0,0.00012196981247141332,0.0,0.0,0.0007318188748284799,0.0,0.0,0.0,0.003506632108553133,0.0,3.049245311785333e-05,0.00036590943741423996,0.0,0.0003049245311785333,0.009391675560298827,0.0,0.0021649641713675865,0.0003049245311785333,0.00033541698429638664,0.0025308736087818265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
л,0.008324439701173959,0.004970269858210093,0.0,0.0,0.00015246226558926666,3.049245311785333e-05,0.0047263302332672666,0.0,0.00036590943741423996,3.049245311785333e-05,0.005397164201860039,0.0,0.0003049245311785333,9.147735935355999e-05,0.0,0.00054886415612136,0.005458149108095747,0.0,0.0,0.003140722671138893,3.049245311785333e-05,0.0013416679371855466,0.0,0.0,0.0,6.098490623570666e-05,3.049245311785333e-05,0.0,0.0,0.0007928037810641867,0.004604360420795853,0.0,0.0004878792498856533,0.0015246226558926666
м,0.0073486812014026525,0.0025918585150175332,0.0,6.098490623570666e-05,3.049245311785333e-05,0.0,0.0042079585302637595,0.0,0.0,0.0,0.0025308736087818265,0.0,0.00045738679676779996,9.147735935355999e-05,0.00021344717182497332,0.0015856075621283733,0.004665345327031559,0.00012196981247141332,3.049245311785333e-05,9.147735935355999e-05,0.0,0.0018295471870711998,0.0,0.0,0.0,9.147735935355999e-05,0.0,0.0,0.0,0.0010672358591248667,0.0,0.00012196981247141332,0.0,0.00045738679676779996
н,0.0028357981399603598,0.009178228388473852,0.0,0.0,0.0,0.00219545662448544,0.009269705747827412,0.0,0.0,0.0,0.006799817045281293,0.0,0.0003049245311785333,0.0,0.0,0.0017990547339533465,0.009483152919652385,0.0,6.098490623570666e-05,0.0006403415154749199,0.0010672358591248667,0.00429943588961732,0.0,0.0,0.00021344717182497332,6.098490623570666e-05,0.0,0.0,0.0,0.0029882604055496264,0.0010672358591248667,0.0,0.00024393962494282664,0.0028357981399603598
о,0.02079585302637597,0.0,0.0033236773898460133,0.0059460283579814,0.0038115566397316663,0.0039945113584387865,0.00201250190577832,0.0,0.00237841134319256,0.0017990547339533465,0.0015246226558926666,0.0033846622960817196,0.0021344717182497333,0.006007013264217106,0.005732581186156427,0.004543375514560147,9.147735935355999e-05,0.0016161000152462265,0.0051837170300350665,0.006525384967220613,0.00768409818569904,0.00027443207806068,0.00024393962494282664,0.0005183717030035066,9.147735935355999e-05,0.0018600396401890532,0.0008232962341820399,0.00021344717182497332,0.0,0.0,0.0,3.049245311785333e-05,0.0003049245311785333,0.00109772831224272
п,6.098490623570666e-05,0.0024698887025461197,0.0,0.0,0.0,0.0,0.0015246226558926666,0.0,0.0,0.0,0.0008232962341820399,0.0,0.00021344717182497332,0.00109772831224272,0.0,0.00015246226558926666,0.010824820856837933,0.0,0.006799817045281293,0.0,0.00015246226558926666,0.0007623113279463333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042689434364994664,3.049245311785333e-05,0.0,0.0,0.00033541698429638664
р,0.0006098490623570666,0.0066473547796920265,3.049245311785333e-05,0.0004878792498856533,6.098490623570666e-05,9.147735935355999e-05,0.006921786857752707,0.0,0.00024393962494282664,3.049245311785333e-05,0.003933526452203079,0.0,0.00033541698429638664,9.147735935355999e-05,0.00021344717182497332,0.0009452660466534533,0.007318188748284799,9.147735935355999e-05,9.147735935355999e-05,0.00033541698429638664,0.00054886415612136,0.0025003811556639733,0.0,0.00027443207806068,0.00012196981247141332,0.0,0.00015246226558926666,3.049245311785333e-05,0.0,0.001951516999542613,0.00054886415612136,0.0,6.098490623570666e-05,0.00100625095288916
с,0.0030797377649031863,0.0014636377496569598,3.049245311785333e-05,0.0011282207653605732,3.049245311785333e-05,0.00021344717182497332,0.0036895868272602533,0.0,0.00018295471870711998,0.0,0.0012501905778319867,0.0,0.00384204909284952,0.0027138283274889463,0.0008537886872998933,0.0011587132184784266,0.0025308736087818265,0.00265284342125324,0.00024393962494282664,0.0003964018905320933,0.010550388778777252,0.0005183717030035066,0.0,0.00024393962494282664,3.049245311785333e-05,9.147735935355999e-05,6.098490623570666e-05,0.0,0.0,0.00027443207806068,0.0029882604055496264,0.0,0.00018295471870711998,0.005885043451745693
т,0.004146973624028053,0.005458149108095747,9.147735935355999e-05,0.0017990547339533465,0.0,9.147735935355999e-05,0.004665345327031559,0.0,0.0,0.0,0.004177466077145906,0.0,0.00054886415612136,0.00015246226558926666,6.098490623570666e-05,0.0009757584997713066,0.011739594450373533,0.00018295471870711998,0.00219545662448544,0.0009147735935355999,3.049245311785333e-05,0.00173806982771764,0.0,0.0,6.098490623570666e-05,6.098490623570666e-05,0.0,0.0,0.0,0.002317426436956853,0.00622046043604208,0.0,6.098490623570666e-05,0.0013721603903034
