,а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
а,0.0006203021236225644,0.0016784645698022331,0.004123184704079398,0.0011676275268189447,0.003174487338539006,0.0013135809676713128,0.0,0.0016784645698022331,0.0040502079836532145,0.0010216740859665767,0.0007297672042618405,0.005728672553455448,0.009705903816682479,0.0037947894621615705,0.009012624972633729,0.0008027439246880245,0.0026636502955557175,0.00306502225789973,0.0071152302415529445,0.007188206961979128,0.0005838137634094723,3.648836021309202e-05,0.001459534408523681,0.0002554185214916442,0.001824418010654601,0.001641976209589141,0.00040137196234401223,0.0,0.0,0.0,0.00029190688170473617,0.0011676275268189447,0.003502882580456834
б,0.0008757206451142086,0.0,0.0,3.648836021309202e-05,0.0,0.0017879296504415092,0.0,7.297672042618404e-05,0.0,0.0009486973655403926,0.0,0.0002554185214916442,0.0013135809676713128,7.297672042618404e-05,0.0005108370429832884,0.0021528132525724295,7.297672042618404e-05,0.0009122090053273005,0.00021893016127855214,0.0,0.001423046048310589,0.0,0.00010946508063927607,0.0,0.0,0.0,7.297672042618404e-05,0.00014595344085236808,0.003393417499817558,0.00010946508063927607,3.648836021309202e-05,7.297672042618404e-05,0.0006932788440487484
в,0.007334160402831497,0.00010946508063927607,0.00010946508063927607,0.00029190688170473617,0.0005838137634094723,0.0044515799459972265,0.0,3.648836021309202e-05,0.0009851857257534846,0.00324746405896519,0.0,0.001568999489162957,0.0012041158870320368,0.0006203021236225644,0.0022622783332117056,0.006750346639422024,0.0010216740859665767,0.0009486973655403926,0.004232649784718674,0.00036488360213092025,0.0007297672042618405,0.00010946508063927607,7.297672042618404e-05,3.648836021309202e-05,0.00029190688170473617,0.0010216740859665767,0.0,0.0,0.0020798365321462453,0.00010946508063927607,3.648836021309202e-05,0.0,0.0002554185214916442
г,0.0012041158870320368,0.0,3.648836021309202e-05,0.0,0.0009851857257534846,0.00014595344085236808,0.0,0.0,7.297672042618404e-05,0.0005473254031963803,0.0,0.00036488360213092025,0.001641976209589141,0.0,0.0007297672042618405,0.00919506677369919,7.297672042618404e-05,0.0011676275268189447,0.00018244180106546012,0.0,0.0009122090053273005,0.0,0.0,0.0,0.00014595344085236808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
д,0.006239509596438736,3.648836021309202e-05,0.0010946508063927607,0.00018244180106546012,3.648836021309202e-05,0.004561045026636503,0.0,0.00010946508063927607,0.0,0.0017879296504415092,0.0,0.0003283952419178282,0.0011676275268189447,0.00021893016127855214,0.001824418010654601,0.005838137634094724,0.00014595344085236808,0.003648836021309202,0.0004378603225571043,0.00010946508063927607,0.0022622783332117056,3.648836021309202e-05,0.00010946508063927607,3.648836021309202e-05,0.00018244180106546012,3.648836021309202e-05,0.0,0.0,0.0005473254031963803,0.0003283952419178282,0.0,0.0,0.0004743486827701963
е,0.0004378603225571043,0.002809603736408086,0.003137998978325914,0.004998905349193607,0.004670510107275779,0.001459534408523681,0.0,0.0010216740859665767,0.001714952930015325,0.0008757206451142086,0.002846092096621178,0.0025176968547033496,0.005546230752389987,0.005911114354520908,0.010034299058600307,0.0013135809676713128,0.004159673064292491,0.00613004451579946,0.006057067795373276,0.004706998467488871,0.0009851857257534846,0.00014595344085236808,0.0009122090053273005,0.0004378603225571043,0.0018609063708676932,0.001568999489162957,0.0009486973655403926,0.0,0.0,0.0,0.00036488360213092025,0.00021893016127855214,0.0012041158870320368
ё,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ж,0.0012406042472451289,3.648836021309202e-05,0.0,0.0,0.0011311391666058528,0.004013719623440122,0.0,0.0,0.0,0.001714952930015325,0.0,0.00018244180106546012,7.297672042618404e-05,3.648836021309202e-05,0.0014960227687367729,3.648836021309202e-05,3.648836021309202e-05,0.0,7.297672042618404e-05,0.0,0.00018244180106546012,0.0,0.0,0.0,3.648836021309202e-05,0.0,0.0,0.0,0.0,7.297672042618404e-05,0.0,0.0,0.0
з,0.006896300080274392,0.00021893016127855214,0.0012041158870320368,0.0004743486827701963,0.0011311391666058528,0.00018244180106546012,0.0,7.297672042618404e-05,7.297672042618404e-05,0.00040137196234401223,0.0,0.0005473254031963803,0.00029190688170473617,0.0006203021236225644,0.001423046048310589,0.0007297672042618405,0.0002554185214916442,0.00029190688170473617,0.00010946508063927607,3.648836021309202e-05,0.0006932788440487484,0.0,0.0,3.648836021309202e-05,7.297672042618404e-05,3.648836021309202e-05,0.0,0.0,0.0005108370429832884,0.00014595344085236808,0.0,0.0,0.0005473254031963803
и,0.0006567904838356564,0.0008757206451142086,0.004925928628767423,0.0010216740859665767,0.0023717434138509816,0.0023717434138509816,0.0,0.00040137196234401223,0.0023352550536378893,0.0022622783332117056,0.0016784645698022331,0.0025906735751295338,0.0071152302415529445,0.0036123476610961103,0.005144858790045975,0.0013865576880974968,0.0021893016127855214,0.0019703714515069692,0.004561045026636503,0.004962416988980515,0.0005838137634094723,3.648836021309202e-05,0.002006859811720061,0.0007662555644749325,0.0013865576880974968,0.0005838137634094723,0.00021893016127855214,0.0,0.0,0.0,0.00036488360213092025,0.0003283952419178282,0.0019703714515069692
й,0.00036488360213092025,0.00021893016127855214,0.0007297672042618405,0.00014595344085236808,0.0005108370429832884,0.00010946508063927607,0.0,0.00014595344085236808,7.297672042618404e-05,0.0005108370429832884,0.0,0.0005473254031963803,0.00014595344085236808,0.0003283952419178282,0.0013865576880974968,0.0003283952419178282,0.0011311391666058528,0.00036488360213092025,0.001350069327884405,0.0007662555644749325,0.00014595344085236808,0.00010946508063927607,3.648836021309202e-05,7.297672042618404e-05,0.0007297672042618405,0.0002554185214916442,0.0,0.0,0.0,0.0,3.648836021309202e-05,0.0,0.00021893016127855214
к,0.007297672042618404,0.00021893016127855214,0.0005473254031963803,3.648836021309202e-05,0.0003283952419178282,0.0009486973655403926,0.0,7.297672042618404e-05,3.648836021309202e-05,0.004488068306210319,0.0,0.0002554185214916442,0.0004743486827701963,0.00040137196234401223,0.0008392322849011166,0.011566810187550172,0.0003283952419178282,0.0027731153761949936,0.0010581624461796686,0.0008392322849011166,0.003137998978325914,0.0,0.00010946508063927607,0.0,0.00018244180106546012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010946508063927607
