,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
а,0.0022532037741163215,0.0004224757076468103,0.001408252358822701,0.0018307280664695113,0.0,0.006618786086466695,0.0019715533023517817,0.002816504717645402,0.0004224757076468103,0.0012674271229404308,0.0005633009435290804,0.0019715533023517817,0.0005633009435290804,0.0005633009435290804,0.0035206308970567525,0.0005633009435290804,0.0,0.0033798056611744824,0.0001408252358822701,0.0019715533023517817,0.002816504717645402,0.0002816504717645402,0.0016899028305872412,0.001408252358822701,0.0022532037741163215,0.001549077594704971,0.0007041261794113505,0.004788058019997183,0.0005633009435290804,0.0032389804252922123,0.0008449514152936206
б,0.0018307280664695113,0.0002816504717645402,0.0012674271229404308,0.001408252358822701,0.0007041261794113505,0.0007041261794113505,0.0007041261794113505,0.0008449514152936206,0.0035206308970567525,0.0016899028305872412,0.0009857766511758908,0.0021123785382340513,0.0008449514152936206,0.0035206308970567525,0.003098155189409942,0.0008449514152936206,0.0019715533023517817,0.0021123785382340513,0.0021123785382340513,0.0007041261794113505,0.0019715533023517817,0.001549077594704971,0.0038022813688212928,0.001408252358822701,0.0016899028305872412,0.0032389804252922123,0.0007041261794113505,0.0012674271229404308,0.0019715533023517817,0.0016899028305872412,0.0012674271229404308
в,0.0004224757076468103,0.002675679481763132,0.0,0.0008449514152936206,0.0,0.001408252358822701,0.0002816504717645402,0.0,0.001408252358822701,0.0,0.0,0.004647232784114913,0.0,0.0,0.0,0.0001408252358822701,0.0001408252358822701,0.0007041261794113505,0.0004224757076468103,0.0,0.0004224757076468103,0.0,0.0032389804252922123,0.0001408252358822701,0.0,0.0,0.0,0.003943106604703563,0.0004224757076468103,0.0005633009435290804,0.0
г,0.0001408252358822701,0.0040839318405858326,0.0001408252358822701,0.0001408252358822701,0.0001408252358822701,0.0002816504717645402,0.0,0.0,0.0001408252358822701,0.0021123785382340513,0.0001408252358822701,0.0008449514152936206,0.0007041261794113505,0.0001408252358822701,0.0008449514152936206,0.0001408252358822701,0.0001408252358822701,0.0001408252358822701,0.0,0.0019715533023517817,0.0016899028305872412,0.0004224757076468103,0.0,0.0001408252358822701,0.0004224757076468103,0.0004224757076468103,0.0002816504717645402,0.0007041261794113505,0.0002816504717645402,0.0001408252358822701,0.0004224757076468103
д,0.0001408252358822701,0.0,0.0001408252358822701,0.0018307280664695113,0.0,0.0,0.0001408252358822701,0.0,0.0,0.0005633009435290804,0.0001408252358822701,0.0,0.003943106604703563,0.0002816504717645402,0.0002816504717645402,0.0007041261794113505,0.0001408252358822701,0.0008449514152936206,0.0009857766511758908,0.0002816504717645402,0.0001408252358822701,0.0,0.0002816504717645402,0.0004224757076468103,0.0001408252358822701,0.0,0.0001408252358822701,0.0,0.0005633009435290804,0.0008449514152936206,0.0002816504717645402
е,0.0018307280664695113,0.0064779608505844246,0.0016899028305872412,0.0005633009435290804,0.0002816504717645402,0.0016899028305872412,0.0021123785382340513,0.0005633009435290804,0.0011266018870581607,0.0018307280664695113,0.0008449514152936206,0.0023940290099985916,0.0009857766511758908,0.0011266018870581607,0.0016899028305872412,0.0009857766511758908,0.0005633009435290804,0.0011266018870581607,0.0021123785382340513,0.0008449514152936206,0.0018307280664695113,0.0016899028305872412,0.0001408252358822701,0.0052105337276439935,0.0016899028305872412,0.0012674271229404308,0.0018307280664695113,0.002675679481763132,0.0016899028305872412,0.0005633009435290804,0.0009857766511758908
ж,0.001408252358822701,0.0007041261794113505,0.0,0.0001408252358822701,0.0002816504717645402,0.0005633009435290804,0.0,0.0002816504717645402,0.0001408252358822701,0.0035206308970567525,0.0005633009435290804,0.005069708491761723,0.0,0.0001408252358822701,0.0004224757076468103,0.0004224757076468103,0.0001408252358822701,0.0004224757076468103,0.0001408252358822701,0.0008449514152936206,0.0005633009435290804,0.0004224757076468103,0.0021123785382340513,0.0009857766511758908,0.0005633009435290804,0.0016899028305872412,0.0002816504717645402,0.0,0.0004224757076468103,0.0007041261794113505,0.0001408252358822701
з,0.005633009435290804,0.0002816504717645402,0.0004224757076468103,0.0004224757076468103,0.0001408252358822701,0.0022532037741163215,0.0002816504717645402,0.0002816504717645402,0.0007041261794113505,0.0007041261794113505,0.0001408252358822701,0.0008449514152936206,0.0002816504717645402,0.0008449514152936206,0.0004224757076468103,0.0005633009435290804,0.0007041261794113505,0.0005633009435290804,0.0001408252358822701,0.0005633009435290804,0.0001408252358822701,0.0002816504717645402,0.0001408252358822701,0.0002816504717645402,0.0005633009435290804,0.0008449514152936206,0.001549077594704971,0.0009857766511758908,0.003943106604703563,0.0,0.0009857766511758908
и,0.0009857766511758908,0.0007041261794113505,0.0005633009435290804,0.0002816504717645402,0.0007041261794113505,0.001408252358822701,0.0004224757076468103,0.0012674271229404308,0.0009857766511758908,0.0021123785382340513,0.0011266018870581607,0.003098155189409942,0.0012674271229404308,0.001549077594704971,0.0011266018870581607,0.0019715533023517817,0.0002816504717645402,0.0009857766511758908,0.0012674271229404308,0.0008449514152936206,0.0022532037741163215,0.0009857766511758908,0.001408252358822701,0.0011266018870581607,0.0004224757076468103,0.0,0.0004224757076468103,0.0002816504717645402,0.0001408252358822701,0.0008449514152936206,0.0005633009435290804
й,0.0012674271229404308,0.002675679481763132,0.001549077594704971,0.001408252358822701,0.0004224757076468103,0.0038022813688212928,0.0035206308970567525,0.0004224757076468103,0.0012674271229404308,0.0033798056611744824,0.0002816504717645402,0.004365582312350373,0.0009857766511758908,0.0011266018870581607,0.0016899028305872412,0.0008449514152936206,0.0011266018870581607,0.001549077594704971,0.001408252358822701,0.0022532037741163215,0.001408252358822701,0.0016899028305872412,0.0007041261794113505,0.0016899028305872412,0.004365582312350373,0.0035206308970567525,0.0007041261794113505,0.002816504717645402,0.0018307280664695113,0.0018307280664695113,0.001408252358822701
