WITH SPACES:
 : 0.16431881936821563
о: 0.09394438346139773
а: 0.06668496158068057
е: 0.06601414806683742
н: 0.05534211489206001
и: 0.05070740334187096
т: 0.049060861080619585
с: 0.04628613245517746
л: 0.04241370898890109
р: 0.03567508232711306
в: 0.03415050615928772
к: 0.030156116599585316
м: 0.027594828637638735
у: 0.027289913404073666
д: 0.026558116843517502
п: 0.025673862666178802
я: 0.025338455909257228
ь: 0.017105744603000368
ы: 0.01567264300524454
г: 0.014544456641053787
з: 0.014209049884132212
б: 0.012775948286376387
ч: 0.012318575436028784
й: 0.008994999390169532
ж: 0.008659592633247956
х: 0.007409440175631174
ш: 0.007287474082205147
ю: 0.004939626783754116
щ: 0.003384559092572265
ц: 0.00225637272838151
э: 0.00225637272838151
ф: 0.0008537626539821929
ъ: 0.00012196609342602757
Entropy: 4.382259257834825
R: 0.6621348615236284
Entropy bigrams (overlap) per char: 3.9731707093858732
Entropy bigrams (no overlap) per char: 3.9670102453422293


WITHOUT SPACES:
о: 0.11241653592147992
а: 0.0797971321195315
е: 0.07899441748458423
н: 0.06622395738315029
и: 0.06067792899624184
т: 0.05870762943773489
с: 0.055387309811362063
л: 0.0507534571459846
р: 0.0426898237676506
в: 0.040865472324588606
к: 0.03608567154376619
м: 0.033020761119422044
у: 0.03265589083080965
д: 0.03178020213813989
п: 0.030722078301163937
я: 0.0303207209836903
ь: 0.020469223191155544
ы: 0.018754332834677274
г: 0.017404312766811397
з: 0.01700295544933776
б: 0.01528806509285949
ч: 0.014740759659940891
й: 0.01076367351406575
ж: 0.010362316196592112
х: 0.008866348013281278
ш: 0.00872039989783632
ю: 0.005910898675520852
щ: 0.004050060203597621
ц: 0.0027000401357317474
э: 0.0027000401357317474
ф: 0.0010216368081147151
ъ: 0.00014594811544495933
Entropy: 4.472659183269548
R: 0.5273408167304519
Entropy bigrams (overlap) per char: 4.136623017106548
Entropy bigrams (no overlap) per char: 4.123254253013803
