, ,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я
 ,0.0000,0.0032,0.0060,0.0142,0.0014,0.0082,0.0056,0.0028,0.0021,0.0175,0.0000,0.0073,0.0019,0.0048,0.0158,0.0140,0.0133,0.0030,0.0141,0.0123,0.0026,0.0005,0.0004,0.0004,0.0089,0.0001,0.0000,0.0000,0.0000,0.0000,0.0036,0.0000,0.0006
а,0.0102,0.0000,0.0001,0.0019,0.0006,0.0009,0.0033,0.0009,0.0041,0.0002,0.0002,0.0072,0.0027,0.0021,0.0024,0.0000,0.0009,0.0003,0.0017,0.0038,0.0004,0.0000,0.0006,0.0000,0.0022,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0014,0.0016
б,0.0003,0.0002,0.0000,0.0000,0.0000,0.0000,0.0012,0.0000,0.0000,0.0001,0.0000,0.0000,0.0006,0.0000,0.0007,0.0028,0.0000,0.0012,0.0004,0.0000,0.0011,0.0000,0.0005,0.0000,0.0000,0.0000,0.0006,0.0001,0.0037,0.0000,0.0000,0.0000,0.0001
в,0.0052,0.0038,0.0000,0.0000,0.0000,0.0001,0.0057,0.0000,0.0001,0.0029,0.0000,0.0000,0.0008,0.0002,0.0008,0.0083,0.0001,0.0004,0.0025,0.0002,0.0014,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0001,0.0000,0.0000,0.0002
г,0.0003,0.0006,0.0000,0.0000,0.0000,0.0008,0.0001,0.0000,0.0000,0.0008,0.0000,0.0001,0.0007,0.0000,0.0001,0.0081,0.0000,0.0002,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
д,0.0004,0.0029,0.0000,0.0016,0.0000,0.0000,0.0058,0.0000,0.0000,0.0032,0.0000,0.0001,0.0011,0.0003,0.0035,0.0032,0.0001,0.0024,0.0002,0.0001,0.0019,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000,0.0004,0.0011,0.0000,0.0000,0.0008
е,0.0248,0.0000,0.0008,0.0009,0.0025,0.0056,0.0030,0.0012,0.0005,0.0002,0.0019,0.0015,0.0060,0.0046,0.0084,0.0006,0.0006,0.0046,0.0076,0.0073,0.0000,0.0000,0.0006,0.0001,0.0013,0.0002,0.0013,0.0000,0.0000,0.0000,0.0000,0.0004,0.0002
ж,0.0000,0.0005,0.0000,0.0000,0.0000,0.0019,0.0055,0.0000,0.0000,0.0007,0.0000,0.0000,0.0000,0.0000,0.0022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
з,0.0022,0.0018,0.0001,0.0004,0.0001,0.0006,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0011,0.0026,0.0011,0.0000,0.0002,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0002
и,0.0216,0.0001,0.0016,0.0020,0.0002,0.0014,0.0039,0.0009,0.0029,0.0011,0.0006,0.0011,0.0026,0.0062,0.0043,0.0001,0.0000,0.0006,0.0026,0.0037,0.0000,0.0001,0.0022,0.0006,0.0029,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,0.0005,0.0025
