Letter,Count,Frequency
 ,95597,0.1647
о,62943,0.1084
е,50226,0.0865
и,38751,0.0667
т,37108,0.0639
н,32739,0.0564
а,28998,0.0499
с,26233,0.0452
в,20096,0.0346
м,17450,0.0301
д,17095,0.0294
л,16734,0.0288
р,16495,0.0284
к,13353,0.0230
у,12471,0.0215
п,10817,0.0186
ч,10680,0.0184
ь,8312,0.0143
я,8311,0.0143
б,7969,0.0137
ы,7888,0.0136
з,7166,0.0123
г,6988,0.0120
ж,6487,0.0112
щ,4436,0.0076
х,4009,0.0069
й,3402,0.0059
ю,2523,0.0043
э,2280,0.0039
ш,1748,0.0030
ц,723,0.0012
ф,448,0.0008
ъ,107,0.0002
