Letter,Count,Frequency
о,62943,0.1298
е,50226,0.1036
и,38751,0.0799
т,37108,0.0765
н,32739,0.0675
а,28998,0.0598
с,26233,0.0541
в,20096,0.0414
м,17450,0.0360
д,17095,0.0352
л,16734,0.0345
р,16495,0.0340
к,13353,0.0275
у,12471,0.0257
п,10817,0.0223
ч,10680,0.0220
ь,8312,0.0171
я,8311,0.0171
б,7969,0.0164
ы,7888,0.0163
з,7166,0.0148
г,6988,0.0144
ж,6487,0.0134
щ,4436,0.0091
х,4009,0.0083
й,3402,0.0070
ю,2523,0.0052
э,2280,0.0047
ш,1748,0.0036
ц,723,0.0015
ф,448,0.0009
ъ,107,0.0002
